ID,me,Typ,Verein,Jugendverein,Land,Am,MW,Einsatz
vfb1,Florian Müller,1,vfb,fsvj,,,,1
vfb2,Waldemar Anton,1,vfb,han,,,,1
vfb3,Wataru Endo,1,vfb,shb,,,,1
vfb4,Josha Vagnoman,1,vfb,hsv,,,,1
vfb5,Konstantinos Mavropanos,1,vfb,smy,,,,1
vfb7,Tanguy Coulibaly,1,vfb,psg,,,,1
vfb8,Enzo Millot,1,vfb,asm,,,,1
vfb9,Serhou Guirassy,1,vfb,stl,,,,1
vfb10,Tiago Tomas,1,vfb,spo,,,,1
vfb11,Juan José Perea,1,vfb,por,,,,1
vfb14,Silas Katompa Mvumpa,1,vfb,pfc,,,,1
vfb15,Pascal Stenzel,1,vfb,bvbj,,,,1
vfb16,Atakan Karazor,1,vfb,bocj,,,,1
vfb20,Luca Pfeiffer,1,vfb,stk,,,,1
vfb21,Hiroki Ito,1,vfb,iwa,,,,1
vfb22,Chris Führich,1,vfb,rwo,,,,1
vfb23,Dan-Axel Zagadou,1,vfb,psg,,,,1
vfb24,Borna Sosa,1,vfb,zag,,,,1
vfb25,Lilian Egloff,1,vfb,vfbj,,,,1
bl ,Bundesliga,3,bl ,,GER,0,,
vfb,VfB Stuttgart,2,vfb,,GER,0,,
boc,VfL Bochum,2,boc,,GER,0,,
gel ,FC Schalke 04,2,gel,,GER,0,,
svw,SV Werder Bremen,2,svw,,GER,0,,
bsc,Hertha BSC Berlin,2,bsc,,GER,0,,
koe,1. FC Köln,2,koe,,GER,0,,
fca,FC Augsburg,2,fca,,GER,0,,
fsv,1. FSV Mainz 05,2,fsv,,GER,0,,
fcu,1. FC Union Berlin,2,fcu,,GER,0,,
tsg,TSG 1899 Hoffenheim,2,tsg,,GER,0,,
scf,SC Freiburg,2,scf,,GER,0,,
wob,VfL Wolfsburg,2,wob,,GER,0,,
bmg,Borussia Mönchengladbach,2,bmg,,GER,0,,
sge,SG Eintracht Frankfurt,2,sge,,GER,0,,
lev,Bayer 04 Leverkusen,2,lev,,GER,0,,
rbl,Red Bull Leipzig,2,rbl,,GER,0,,
bvb,Borussia Dortmund,2,bvb,,GER,0,,
fcb,FC Bayern München,2,fcb,,GER,0,,
fcbj,FC Bayern Jugend,2,fcb,,GER,0,,
scfj,SC Freiburg Jugend,2,scf,,GER,0,,
rblj,Red Bull Leipzig Jugend,2,rbl,,GER,0,,
sgej,Eintracht Frankfurt Jugend,2,sge,,GER,0,,
fcuj,Union Berlin Jugend,2,fcu,,GER,0,,
bvbj,Borussia Dortmund Jugend,2,bvb,,GER,0,,
wobj,VfL Wofsburg Jugend,2,wob,,GER,0,,
bmgj,Mönchengladbach Jugend,2,bmg,,GER,0,,
svwj,SV Werder Bremen Jugend,2,svw,,GER,0,,
fsvj,FSV Mainz 05 Jugend,2,fsv,,GER,0,,
tsgj,TSG 1899 Hoffenheim Jugend,2,tsg,,GER,0,,
levj,Bayer 04 Leverkusen Jugend,2,lev,,GER,0,,
koej,1. FC Köln Jugend,2,koe,,GER,0,,
fcaj,FC Augsburg Jugend,2,fca,,GER,0,,
bscj,Hertha BSC Berlin Jugend,2,bsc,,GER,0,,
